model_type,preproc_type,tuning_type,metric,estimator,n_folds,best_fold,mean,min,max,sd,range,model_cat,preproc_cat,metric_cat,metric_cat_short,model_pre_label,model_pre_order,model_pre_cat,model_pre_cat_rev
random_forest,nocountynoucr,bayes_tune,sens,binary,5,2,0.7735472213577866,0.7695078239587583,0.7803450641242717,0.0040357885210311525,0.010837240165513462,Random Forest,"No county, no contributing cause",Sensitivity,Sens.,"Random Forest, No county, no contributing cause",9,"Random Forest, No county, no contributing cause","Random Forest, No county, no contributing cause"
random_forest,nocounty,bayes_tune,sens,binary,5,2,0.7719225941950828,0.7696206486552164,0.773641755016628,0.0017834619550730043,0.004021106361411619,Random Forest,No county,Sensitivity,Sens.,"Random Forest, No county",10,"Random Forest, No county","Random Forest, No county"
random_forest,noucr,bayes_tune,sens,binary,5,3,0.7739200594448001,0.7722242954965588,0.7753811858340808,0.0015080008323908563,0.003156890337521978,Random Forest,No contributing causes,Sensitivity,Sens.,"Random Forest, No contributing causes",11,"Random Forest, No contributing causes","Random Forest, No contributing causes"
random_forest,naive,bayes_tune,sens,binary,5,2,0.7747280790750352,0.7729706742577437,0.7762379848394071,0.0016094794768724946,0.0032673105816634074,Random Forest,All covariates,Sensitivity,Sens.,"Random Forest, All covariates",12,"Random Forest, All covariates","Random Forest, All covariates"
logistic_elasticnet,nocountynoucr,bayes_tune,sens,binary,5,3,0.7177792200173084,0.716022689472855,0.7197119445484548,0.0016535619423435086,0.0036892550755998066,Logistic (ElasticNet),"No county, no contributing cause",Sensitivity,Sens.,"Logistic (ElasticNet), No county, no contributing cause",13,"Logistic (ElasticNet), No county, no contributing cause","Logistic (ElasticNet), No county, no contributing cause"
logistic_elasticnet,nocounty,bayes_tune,sens,binary,5,3,0.7177685490331254,0.7160723119516069,0.7195029563127509,0.0016104524293240605,0.003430644361143931,Logistic (ElasticNet),No county,Sensitivity,Sens.,"Logistic (ElasticNet), No county",14,"Logistic (ElasticNet), No county","Logistic (ElasticNet), No county"
logistic_elasticnet,noucr,bayes_tune,sens,binary,5,2,0.7258511060467433,0.7234563171048163,0.7280644629103823,0.0018220156470266406,0.004608145805566011,Logistic (ElasticNet),No contributing causes,Sensitivity,Sens.,"Logistic (ElasticNet), No contributing causes",15,"Logistic (ElasticNet), No contributing causes","Logistic (ElasticNet), No contributing causes"
logistic_elasticnet,naive,bayes_tune,sens,binary,5,2,0.7250504111523428,0.7224303646772527,0.7266404438771523,0.0016823313012341197,0.004210079199899575,Logistic (ElasticNet),All covariates,Sensitivity,Sens.,"Logistic (ElasticNet), All covariates",16,"Logistic (ElasticNet), All covariates","Logistic (ElasticNet), All covariates"
xgboost,nocountynoucr,bayes_tune,spec,binary,5,1,0.8484287149568096,0.8473693895388956,0.8490557366250101,7.28310404381766e-4,0.0016863470861144814,XGBoost,"No county, no contributing cause",Specificity,Spec.,"XGBoost, No county, no contributing cause",1,"XGBoost, No county, no contributing cause","XGBoost, No county, no contributing cause"
xgboost,nocounty,bayes_tune,spec,binary,5,1,0.848212569744927,0.8467104986364662,0.8502200281115115,0.0016422437964432788,0.0035095294750453476,XGBoost,No county,Specificity,Spec.,"XGBoost, No county",2,"XGBoost, No county","XGBoost, No county"
xgboost,noucr,bayes_tune,spec,binary,5,1,0.8470570876436848,0.8460506340760278,0.848458271256937,9.634011384372298e-4,0.0024076371809091945,XGBoost,No contributing causes,Specificity,Spec.,"XGBoost, No contributing causes",3,"XGBoost, No contributing causes","XGBoost, No contributing causes"
xgboost,naive,bayes_tune,spec,binary,5,1,0.8481472648332169,0.845651940563998,0.8518132690930399,0.002366690406464164,0.006161328529041943,XGBoost,All covariates,Specificity,Spec.,"XGBoost, All covariates",4,"XGBoost, All covariates","XGBoost, All covariates"
lightgbm,nocountynoucr,bayes_tune,spec,binary,5,1,0.8484721792445707,0.8469293732819386,0.8497412898358119,0.0012563248737462456,0.0028119165538732505,LightGBM,"No county, no contributing cause",Specificity,Spec.,"LightGBM, No county, no contributing cause",5,"LightGBM, No county, no contributing cause","LightGBM, No county, no contributing cause"
lightgbm,nocounty,bayes_tune,spec,binary,5,1,0.8482309874670636,0.8461963105515772,0.8499557645833253,0.0015274113006846573,0.003759454031748155,LightGBM,No county,Specificity,Spec.,"LightGBM, No county",6,"LightGBM, No county","LightGBM, No county"
lightgbm,noucr,bayes_tune,spec,binary,5,1,0.8478654813072074,0.846023798935795,0.8497987384288959,0.0016408048106322586,0.003774939493100815,LightGBM,No contributing causes,Specificity,Spec.,"LightGBM, No contributing causes",7,"LightGBM, No contributing causes","LightGBM, No contributing causes"
lightgbm,naive,bayes_tune,spec,binary,5,1,0.848790891273694,0.8476300737582997,0.8505379103265761,0.0010985741525101618,0.002907836568276423,LightGBM,All covariates,Specificity,Spec.,"LightGBM, All covariates",8,"LightGBM, All covariates","LightGBM, All covariates"
random_forest,nocountynoucr,bayes_tune,spec,binary,5,1,0.8532062023692093,0.8486358262578496,0.8549269828381902,0.0025860107363666974,0.006291156580340629,Random Forest,"No county, no contributing cause",Specificity,Spec.,"Random Forest, No county, no contributing cause",9,"Random Forest, No county, no contributing cause","Random Forest, No county, no contributing cause"
random_forest,nocounty,bayes_tune,spec,binary,5,5,0.8550284257765368,0.854396362688421,0.8553641906107468,3.75096421791431e-4,9.67827922325748e-4,Random Forest,No county,Specificity,Spec.,"Random Forest, No county",10,"Random Forest, No county","Random Forest, No county"
random_forest,noucr,bayes_tune,spec,binary,5,2,0.853605119271746,0.8524603990001993,0.8544510294636962,8.107263582028172e-4,0.0019906304634969008,Random Forest,No contributing causes,Specificity,Spec.,"Random Forest, No contributing causes",11,"Random Forest, No contributing causes","Random Forest, No contributing causes"
random_forest,naive,bayes_tune,spec,binary,5,2,0.8531884053108953,0.851896861055311,0.8542399164760253,9.389728930573946e-4,0.002343055420714224,Random Forest,All covariates,Specificity,Spec.,"Random Forest, All covariates",12,"Random Forest, All covariates","Random Forest, All covariates"
logistic_elasticnet,nocountynoucr,bayes_tune,spec,binary,5,2,0.8479638560453833,0.8466716758928434,0.8494380556109994,0.0012376108850739925,0.0027663797181559646,Logistic (ElasticNet),"No county, no contributing cause",Specificity,Spec.,"Logistic (ElasticNet), No county, no contributing cause",13,"Logistic (ElasticNet), No county, no contributing cause","Logistic (ElasticNet), No county, no contributing cause"
logistic_elasticnet,nocounty,bayes_tune,spec,binary,5,1,0.84800888884374,0.8466333399782252,0.8495995833062049,0.0013132774166697602,0.0029662433279796785,Logistic (ElasticNet),No county,Specificity,Spec.,"Logistic (ElasticNet), No county",14,"Logistic (ElasticNet), No county","Logistic (ElasticNet), No county"
logistic_elasticnet,noucr,bayes_tune,spec,binary,5,3,0.8470247749065126,0.8439232458497781,0.8489488292211675,0.0020065088871572445,0.005025583371389475,Logistic (ElasticNet),No contributing causes,Specificity,Spec.,"Logistic (ElasticNet), No contributing causes",15,"Logistic (ElasticNet), No contributing causes","Logistic (ElasticNet), No contributing causes"
logistic_elasticnet,naive,bayes_tune,spec,binary,5,1,0.8477916530172233,0.8451057327579587,0.8496800113365224,0.0017385623967257743,0.004574278578563629,Logistic (ElasticNet),All covariates,Specificity,Spec.,"Logistic (ElasticNet), All covariates",16,"Logistic (ElasticNet), All covariates","Logistic (ElasticNet), All covariates"
